id_parain	id_dim_personne 
NULL	7232731870
NULL	7232733018
NULL	7232737708
NULL	7232738651
NULL	7232740016
NULL	7232740227
NULL	7232740753
NULL	7232743470
NULL	7232744007
3842239496	7232744208
NULL	7232744819
NULL	7232752775
5346487793	7232754509
NULL	7232760262
NULL	7232760388
6084728485	7232767440
NULL	7232772481
5967804657	7232774049
NULL	7232775101
NULL	7232781716
5726172004	7232782210
NULL	7232784312
6872728792	7232786917
7088015027	7232791968
NULL	7232792816
7108531899	7232796787
NULL	7232797035
6998668831	7232800198
5437207208	7232805015
1989485183	7232805088
NULL	7232808768
NULL	7232812855
7150086427	7232813035
2303200578	7232819323
6620315619	7232820089
NULL	7232822208
NULL	7232826433
5714432470	7232834374
5767510139	7232841557
NULL	7232841825
5215202615	7232843453
NULL	7232845030
NULL	7232847163
NULL	7232848525
7024895510	7232853006
NULL	7232857858
1699596761	7232862607
5923064259	7232862694
2333713778	7232865336
6716591694	7232866775
NULL	7232867287
6901272358	7232867694
6901272358	7232870783
6873281400	7232870928
NULL	7232873010
6907872005	7232873415
NULL	7232873952
NULL	7232875459
NULL	7232876242
NULL	7232878040
6754976027	7232879429
2480875820	7232882395
4050709850	7232886907
NULL	7232890933
6634169670	7232893526
6810748849	7232898882
6907872005	7232901211
NULL	7232902501
5873499504	7232902861
NULL	7232902889
NULL	7232909128
NULL	7232913161
6890257169	7232913339
NULL	7233658163
6627071241	7233659997
NULL	7233664680
NULL	7236391923
7112592145	7236413276
3286794874	7236415523
NULL	7236416523
NULL	7236417644
6510125415	7236418074
7046024206	7236418102
NULL	7236426548
NULL	7236429832
1507248953	7236431240
NULL	7236432249
6827429266	7236434136
6059283102	7236436243
NULL	7236449125
NULL	7236453066
6778053333	7236473227
NULL	7236485088
7112668254	7236518303
7103835465	7236519776
6104654206	7236520024
NULL	7236569773
NULL	7236572003
NULL	7236576017
5957306998	7236590602
NULL	7236594624
NULL	7236599176
6921391138	7236622571
7092785280	7236625030
7108564217	7236627825
2389891496	7236627946
7123823562	7236641554
4694160447	7236643507
6546557808	7236661969
7099169337	7236662283
NULL	7236663932
4409442385	7236673356
1482135179	7236687302
NULL	7236691983
NULL	7236697627
NULL	7236702179
7099390518	7236704458
6552699502	7236710688
6012769474	7236724436
5873499504	7236741015
6081145802	7236749659
4804461405	7236768475
7065598607	7236774053
NULL	7236774514
4530268488	7236777661
NULL	7236808517
NULL	7236814784
NULL	7236815357
7113353208	7236830662
NULL	7236851251
6466149128	7236852736
NULL	7236863438
NULL	7236866085
NULL	7236871822
4047883171	7236880276
7107108908	7236926976
NULL	7236962474
7118680222	7236966684
NULL	7236997100
6162142724	7237003611
7118830733	7237041645
5808520787	7237059255
NULL	7238885737
NULL	7238889959
2650744988	7238903070
NULL	7238903227
NULL	7238907122
3728043869	7238908695
5862414891	7238909181
NULL	7238909778
NULL	7238909899
NULL	7238916315
NULL	7238916426
6103423835	7238921929
