,Code_postal,Salaire_net_horaire_moyen_en_2014_euro
408,14400.0,12.1
409,14430.0,10.6
410,14440.0,14.4
411,14460.0,11.3
412,14470.0,12.3
413,14500.0,11.4
414,14510.0,13.1
415,14520.0,11.7
416,14530.0,14.8
417,14540.0,13.4
418,14550.0,12.4
419,14600.0,12.8
420,14640.0,12.8
421,14650.0,12.7
422,14670.0,12.8
423,14700.0,11.5
424,14730.0,11.9
425,14740.0,13.6
426,14750.0,13.9
427,14760.0,15.2
428,14780.0,14.2
429,14790.0,13.7
430,14800.0,11.8
431,14810.0,13.7
432,14840.0,12.8
433,14880.0,14.5
434,14970.0,15.5
435,14990.0,13.7
436,15000.0,11.6
437,15100.0,11.1
438,15130.0,12.3
439,15200.0,11.1
440,15400.0,11.4
441,15600.0,10.9
442,16000.0,13.0
443,16100.0,12.9
444,16110.0,11.7
445,16120.0,12.0
446,16130.0,12.2
447,16160.0,12.4
448,16200.0,12.6
449,16220.0,11.3
450,16260.0,11.5
451,16270.0,11.4
452,16300.0,12.2
453,16340.0,13.0
454,16370.0,13.8
455,16400.0,11.9
456,16430.0,13.6
457,16440.0,12.1
458,16470.0,12.1
459,16500.0,12.2
460,16590.0,12.7
461,16600.0,12.6
462,16700.0,11.2
463,16710.0,13.9
464,16730.0,13.4
465,16800.0,12.4
466,17000.0,13.2
467,17100.0,12.5
468,17110.0,12.9
469,17120.0,10.8
470,17130.0,11.8
471,17132.0,12.0
472,17137.0,12.7
473,17138.0,13.3
474,17139.0,14.0
475,17140.0,15.1
476,17160.0,11.4
477,17170.0,12.1
478,17180.0,14.8
479,17190.0,11.4
480,17200.0,11.9
481,17220.0,13.3
482,17230.0,11.7
483,17260.0,11.7
484,17290.0,12.3
485,17300.0,11.9
486,17310.0,11.1
487,17320.0,11.1
488,17340.0,14.3
489,17350.0,10.3
490,17390.0,11.5
491,17400.0,11.8
492,17410.0,12.1
493,17420.0,13.0
494,17430.0,11.8
495,17440.0,12.7
496,17450.0,13.5
497,17480.0,11.3
498,17500.0,11.3
499,17530.0,10.7
500,17540.0,12.8
501,17550.0,11.6
502,17560.0,11.2
503,17580.0,13.3
504,17600.0,10.7
505,17610.0,12.8
506,17620.0,12.1
507,17630.0,13.0
508,17640.0,13.7
509,17690.0,14.0
510,17700.0,11.9
511,17740.0,14.0
512,17750.0,11.4
513,17780.0,12.4
514,17800.0,11.1
515,17810.0,12.8
516,17920.0,12.4
517,17940.0,13.9
518,18000.0,13.0
519,18100.0,11.5
520,18110.0,12.5
521,18120.0,13.1
522,18130.0,12.3
523,18150.0,12.3
524,18200.0,10.8
525,18230.0,14.4
526,18370.0,11.3
527,18390.0,12.0
528,18400.0,12.2
529,18410.0,12.1
530,18500.0,11.9
531,18520.0,11.0
532,18570.0,13.3
533,18600.0,11.0
534,18700.0,12.0
535,19000.0,11.8
536,19100.0,12.5
537,19110.0,11.0
538,19130.0,12.3
539,19140.0,11.8
540,19200.0,11.7
541,19210.0,11.8
542,19240.0,12.2
543,19250.0,11.6
544,19270.0,13.1
545,19300.0,11.6
546,19360.0,12.5
547,19400.0,11.9
548,19460.0,13.3
549,19600.0,13.0
550,21000.0,13.4
551,21110.0,12.4
552,21120.0,13.1
553,21121.0,17.1
554,21130.0,11.8
555,21140.0,12.4
556,21150.0,11.8
557,21160.0,13.7
558,21200.0,13.2
559,21210.0,11.2
560,21220.0,13.1
561,21240.0,14.8
562,21250.0,11.6
563,21260.0,13.0
564,21300.0,11.6
565,21310.0,12.5
566,21370.0,12.9
567,21400.0,11.5
568,21470.0,12.5
569,21490.0,17.9
570,21500.0,11.8
571,21560.0,15.5
572,21600.0,12.1
573,21700.0,13.0
574,21800.0,12.7
575,21850.0,14.3
576,22000.0,12.4
577,22100.0,11.6
578,22110.0,11.6
579,22120.0,12.0
580,22130.0,11.0
581,22140.0,11.6
582,22150.0,11.5
583,22160.0,11.4
584,22170.0,11.8
585,22190.0,14.4
586,22200.0,11.6
587,22210.0,11.4
588,22220.0,10.8
589,22230.0,11.3
590,22250.0,11.8
591,22300.0,12.2
592,22310.0,13.1
593,22350.0,11.3
594,22360.0,13.0
595,22370.0,13.8
596,22380.0,12.8
597,22390.0,11.6
598,22400.0,11.7
599,22410.0,13.7
600,22420.0,11.8
601,22430.0,12.7
602,22440.0,12.2
603,22470.0,12.1
604,22490.0,11.9
605,22500.0,12.1
606,22520.0,14.7
607,22530.0,11.8
608,22540.0,11.7
609,22560.0,14.9
610,22580.0,12.3
611,22590.0,13.9
612,22600.0,11.7
613,22610.0,11.9
614,22620.0,13.2
615,22640.0,11.4
616,22650.0,11.7
617,22680.0,13.4
618,22690.0,13.1
