encours_parrain;sid_parrai;id_parrain
433744.08000;1735359;2781639939
52.63000;3337777;6261100192
193.00000;3267355;6089253637
390.40000;2341031;4103666647
2300.00000;2733350;5019995051
10533.42000;1561053;2487416959
400.00000;3042097;5705341736
5235.02000;2877360;5378827110
1.48000;2929474;5484050758
35.24000;2368505;4196763952
3086.45000;609923;611019634
32965.47000;2611905;4681050774
87.26000;2815926;5234180260
355.73000;2309063;4031338529
300.00000;3049923;5714323081
7317.43000;3219403;5995475843
1250.30000;3270853;6097143467
510.00000;2213111;3790356296
0.00000;1609646;2554274251
10.01000;3356191;6312917956
239.77000;3198072;5957418548
1610.15000;3402022;6429699325
839.17000;1596613;2533444129
391.07000;1997388;3351373536
2461.63000;3239526;6044915873
14.84000;1866528;3067932652
10.00000;3334551;6251096671
22797.16000;2506953;4462693552
372.26000;2937692;5501212207
347.42000;3212728;5980838083
693.76000;3358730;6320390156
346.87000;2431871;4331769108
487.01000;3420127;6467492314
229.21000;3107670;5802350196
550.22000;3572830;6888709087
60.96000;2905392;5433076028
24076.37000;2534593;4523307108
6783.00000;3557473;6855192800
160.99000;3093690;5779543231
93092.43000;3138310;5862450649
12128.36000;2291064;3980938296
23494.11000;2679138;4879463989
37.06000;2333311;4084409750
11740.06000;3309450;6181792069
110067.10000;2055716;3474401453
17262.94000;2940998;5508684144
1531.54000;315285;250670077
10.01000;3462517;6568064352
280.57000;2332163;4081542346
480.89000;3215121;5985849457
429.67000;1658734;2630739915
0.00000;2957314;5547013755
383.43000;3039309;5701817630
240.00000;3207547;5972161711
300.00000;2100665;3563312323
59135.41000;1185004;1891192952
10719.63000;1510731;2407914727
1399.81000;2198893;3766053647
19042.00000;3269479;6093374363
23671.57000;3154935;5895925629
31.88000;3488571;6642489017
2085.14000;2614026;4684004477
9615.90000;3176907;5928966813
27.69000;3224859;6008934465
771.23000;3374276;6361423639
15089.80000;3124138;5830276646
33.90000;3443868;6521731213
5036.55000;3537768;6785470087
