,id_dim_personne,encours_parrain,id_parrain
377,7239063142,5575.4,3560911212.0
378,7239063823,5358.68,3748830770.0
379,7239067650,,
380,7239068921,,
381,7239069467,1841.56,3341075910.0
382,7239070036,27032.56,3080032333.0
383,7239071862,,
384,7239072733,11004.28,2966726853.0
385,7239074850,,
386,7239074879,6366.2,5943268272.0
387,7239076572,,
388,7239077622,86.75,6985450094.0
389,7239078299,,
390,7239078982,111.0,7042812101.0
391,7239079675,134.49,7092639348.0
392,7239079954,,
393,7239083924,,
394,7239089410,7846.98,6059583543.0
395,7239089902,4567.97,6471366769.0
396,7239092049,613.34,426811504.0
397,7239092155,397.55,2541845435.0
398,7239093864,,
399,7239094710,2483.04,4456858435.0
400,7239095004,85122.34,353584285.0
401,7239098368,,
402,7239098763,839.3,7093029446.0
403,7239100584,,
404,7239104953,6766.29,6936808570.0
405,7239105249,,
406,7239112589,,
407,7239112826,,
408,7239113997,,
409,7239116811,,
410,7239117401,3321.2,6695863984.0
411,7239118656,10.0,5767510139.0
412,7239120576,44.8,4777804728.0
413,7239121246,,
414,7239121870,3012.91,6926883493.0
415,7239123103,,
416,7239127506,17789.88,2097761066.0
417,7239128047,1360.0,6186333962.0
418,7239130349,10.01,5770882851.0
419,7239130785,530.0,7058666467.0
420,7239134966,91.47,6978093988.0
421,7239135422,524.81,6162437877.0
422,7239136921,,
423,7239138047,350.0,4554436937.0
424,7239139851,187.51,4920407405.0
425,7239139908,10.0,5767510139.0
426,7239140258,,
427,7239140405,,
428,7239140779,2007.5,3270493881.0
429,7239140986,27952.32,7002143175.0
430,7239141061,146.2,5980381788.0
431,7239141965,36.95,5466201726.0
432,7239146287,,
433,7239147005,,
434,7239147560,,
435,7239149443,,
436,7239150171,1478.05,6925135900.0
437,7239150425,,
438,7239151551,,
439,7239153217,,
440,7239155640,0.0,4473496037.0
441,7239162681,,
442,7239163573,2606.18,3990537492.0
443,7239164729,,
444,7239166002,,
445,7239166066,8498.93,96157.0
446,7239169858,,
447,7239173188,0.0,3092618086.0
448,7239174191,,
449,7239175027,,
450,7239175821,26.2,5701952529.0
451,7239177389,,
452,7239177554,0.0,6965441199.0
453,7239177720,,
454,7239179372,81099.35,3061142575.0
455,7239179995,260.27,6395578659.0
456,7239184109,11168.63,5933263578.0
457,7239184549,10287.03,5271852287.0
458,7239185402,,
459,7239186652,12205.42,5335880926.0
460,7239194461,1067.23,2981213117.0
461,7239196739,3792.2,1853039283.0
462,7239198967,30120.9,2159627080.0
463,7239199109,430.0,4911916738.0
464,7239200681,16577.45,2543566114.0
465,7239201375,10.01,6649751218.0
466,7239202872,,
467,7239204740,,
468,7239205257,837.07,7058763733.0
469,7239205846,,
470,7239207243,,
471,7239209009,,
472,7239209240,,
473,7239209406,,
474,7239210243,5725.7,6346354937.0
475,7239216205,,
476,7239218082,,
477,7239220480,12242.14,6558216357.0
478,7239222087,7513.37,6151368797.0
479,7239224970,,
480,7239228705,,
481,7239230130,5.0,2547015760.0
482,7239230445,,
483,7239230506,,
484,7239231161,812684.35,3638766570.0
485,7239231821,,
486,7239232174,1479.01,5452114350.0
487,7239232573,,
488,7239233221,2809.96,7107103468.0
489,7239236260,306.72,330584630.0
490,7239237210,,
491,7239238052,38790.68,2631121527.0
492,7239239681,,
493,7239240620,,
494,7239243983,,
495,7239245507,,
496,7239245935,4912.92,7123823562.0
497,7239249181,321.08,937684704.0
498,7239252389,32677.76,2824817768.0
499,7239257523,702.87,5066119891.0
500,7239257727,26.2,5701952529.0
501,7239258747,,
502,7239263770,24416.84,5702013923.0
503,7239264569,0.0,6840751932.0
504,7239267644,10.0,6907872005.0
505,7239268444,,
506,7239269026,12781.55,6546693025.0
507,7239271134,,
508,7239274554,1530.0,2059534740.0
509,7239278354,,
510,7239278862,,
511,7239281061,,
512,7239281858,,
513,7239282970,,
514,7239283520,,
515,7239283801,49804.85,3184129589.0
516,7239286604,,
517,7239289804,10.0,7072877801.0
518,7239293920,364.28,7107157791.0
519,7239295025,,
520,7239295813,,
521,7239296106,,
522,7239296421,171.3,5916694990.0
523,7239297035,,
524,7239297965,40.23,7031349513.0
525,7239300256,,
526,7239300991,,
527,7239303583,44.64,6586681457.0
528,7239304092,,
529,7239304526,,
530,7239305705,,
531,7239305717,395.46,6078727849.0
532,7239309804,112.17,641697601.0
533,7239314402,,
534,7239314729,,
535,7239315075,,
536,7239315879,,
537,7239316883,,
538,7239317005,,
539,7239319863,474.35,6552022510.0
540,7239321206,442.96,6053465770.0
541,7239321847,1017.19,5857629971.0
542,7239327727,8565.24,5728288162.0
543,7239329758,364.28,7107157791.0
544,7239330207,,
545,7239332350,765.19,5843225837.0
546,7239333259,,
547,7239333767,,
548,7239334899,,
549,7239336408,,
550,7239339240,,
551,7239339735,1048.11,7123326154.0
552,7239340197,,
553,7239340300,,
554,7239343098,12.37,6861084165.0
555,7239344619,7508.6,6642453530.0
556,7239344753,,
557,7239345996,,
558,7239350465,18523.43,5440187446.0
559,7239352155,,
560,7239353311,,
561,7239355268,,
562,7239359687,,
563,7239362575,170.0,6738554838.0
564,7239362701,24651.29,2614672113.0
565,7239365344,,
566,7239370677,5278.6,6521996803.0
567,7239371330,102.7,7179062459.0
568,7239380131,4363.54,5527863402.0
569,7239380187,23125.45,655741273.0
570,7239381463,1969.4,6538970115.0
571,7239381669,,
572,7239387002,283.26,6969255683.0
573,7239387264,,
574,7239387395,450.0,5433128495.0
575,7239388942,,
576,7239391381,185.0,7092503612.0
577,7239396262,491.83,5528936081.0
578,7239402967,,
579,7239404839,,
580,7239405147,496.41,4883224527.0
581,7239406121,30.2,6317000686.0
582,7239406484,2452.66,6521631835.0
583,7239407751,,
584,7239408039,,
585,7239409676,,
586,7239410789,,
587,7239411038,222.66,5429739418.0
588,7239413027,782.4,2171196016.0
589,7239414562,89.76,7045884159.0
590,7239415744,3369.29,5187176307.0
591,7239416734,360.0,7088608085.0
592,7239422565,,
593,7239422956,78.6,5984424800.0
594,7239423016,4989.32,7093081962.0
595,7239423970,10.0,7042781359.0
596,7239426708,,
597,7239429403,149.86,6778053333.0
598,7239429760,82.96,1632446910.0
599,7239438640,,
600,7239439037,,
601,7239440625,,
602,7239440899,,
603,7239441862,,
604,7239442116,,
605,7239445188,,
606,7240473783,,
607,7240520473,,
608,7240520555,,
609,7244128352,,
610,7244285549,,
611,7244498267,,
612,7244545146,12737.35,2923130344.0
613,7244545711,,
614,7244771822,440.7,5026845673.0
615,7244795202,,
616,7245006633,,
617,7251671831,680.0,6855122794.0
618,7253161277,,
619,7253269488,,
620,7253276387,4562.26,81917.0
621,7253321110,,
622,7253915411,,
623,7254004313,1806.73,4637581784.0
624,7260752190,,
625,7260767898,20.73,6035447329.0
626,7260944171,915.31,6912945487.0
627,7261526277,,
628,7261535821,408.61,3888296608.0
629,7267062631,,
630,7267095740,,
631,7267143127,,
632,7267150819,4225.11,6688985779.0
633,7268107927,,
634,7268122194,10908.8,1871748727.0
635,7268165263,,
636,7268226683,19.47,1738568149.0
637,7268368761,19177.73,4084322304.0
638,7268496101,519.0,2752701023.0
639,7268524517,,
640,7268579293,0.0,7197260708.0
641,7268585690,,
642,7268606631,829.88,3768924278.0
643,7268650198,,
644,7268673051,,
645,7268701583,,
646,7272064155,,
647,7272065478,,
648,7272078643,1845.86,5937296404.0
649,7272080920,,
650,7272081537,12589.16,6573531600.0
651,7272489523,,
652,7272494894,310.0,7092894079.0
653,7272497557,979.88,5980583525.0
654,7272500325,0.0,5774525662.0
655,7272518662,971.18,6901769705.0
656,7272527584,,
657,7272540723,939.57,5846740303.0
658,7272552593,50.94,5779327415.0
659,7272575063,10.36,4324433792.0
