,campagne,code_postal,code_postal_naissance,csp,debit_cb,flag_banque_principale,flag_epargne,nature_cb,patrimoine,regime_matrimonial,revenus_annuels,encours,cible,AGE,Parrain,domain,Sex,country_connexion,pays_de_naissance
13413,868.0,87100.0,99.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,-502.17,0,22.0,1,3.0,0,1.0,3.0
13422,300.0,37510.0,8000.0,13.0,2.0,0.0,0.0,0.0,0.0,4.0,1.0,2080.0,1,46.0,0,6.0,1,1.0,1.0
13423,868.0,92100.0,99.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,380.0,0,30.0,1,3.0,1,1.0,22.0
13424,456.0,92140.0,92110.0,13.0,5.0,0.0,0.0,0.0,1.0,6.0,0.0,741.28,0,34.0,0,3.0,0,1.0,1.0
13431,868.0,85150.0,93130.0,4.0,1.0,0.0,1.0,0.0,0.0,4.0,1.0,181.24,0,23.0,1,16.0,0,1.0,1.0
13435,868.0,31320.0,31600.0,18.0,1.0,0.0,0.0,0.0,0.0,4.0,2.0,405.0,0,28.0,1,1.0,0,1.0,1.0
13438,868.0,69100.0,42000.0,6.0,0.0,0.0,0.0,1.0,1.0,6.0,2.0,10.0,0,64.0,0,10.0,0,1.0,1.0
13444,868.0,68000.0,99.0,12.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,321.0,0,26.0,1,8.0,0,1.0,14.0
13447,300.0,32100.0,31000.0,16.0,5.0,0.0,1.0,0.0,0.0,2.0,0.0,1344.0,1,54.0,1,1.0,0,1.0,1.0
13452,300.0,29280.0,83100.0,13.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,105.2,0,44.0,0,3.0,1,1.0,1.0
13456,868.0,42490.0,42000.0,9.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,380.0,0,32.0,1,3.0,0,1.0,1.0
13458,868.0,69250.0,93160.0,2.0,0.0,1.0,1.0,1.0,0.0,2.0,2.0,2061.84,1,36.0,1,8.0,0,7.0,1.0
13460,300.0,58000.0,58000.0,4.0,0.0,1.0,1.0,1.0,1.0,6.0,2.0,10.0,0,37.0,0,0.0,1,1.0,1.0
13463,868.0,35760.0,56300.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,435.0,0,31.0,1,12.0,1,1.0,1.0
